UniqueCount	AmbigCount
0	6
0	1
1	413
0	0
0	3
0	2
0	0
0	7
0	7
0	0
0	0
0	0
0	0
7	25
0	19
0	1
0	4
0	1
0	0
0	4
0	11
0	0
0	0
9	12
0	0
0	8
0	0
0	0
0	4
0	5
17	31
0	1
7	759
0	481
0	483
0	473
0	411
0	302
20	24
0	0
0	230
0	0
0	0
0	0
0	0
0	20
0	0
0	1
0	0
0	0
0	3
0	1
0	1
0	0
0	0
0	10
0	0
0	3
0	1
0	1
0	2
0	2
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	2
0	0
0	0
0	2
0	0
0	0
0	1
3	2
5	39
0	1
0	0
0	3
0	1
0	0
9	18004
2054	24878
33	213836
6	9
13	60189
0	2561
5470	99012
7	36004
0	0
0	5
0	3
0	1
0	0
0	0
3	45
0	0
0	0
0	0
0	3
0	6
0	7
0	7
0	5
0	6
0	4
0	4
0	7
0	7
0	3
0	1
0	3
0	3
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	1
0	20
6	1
0	2
0	2
0	1
0	2
8	2
0	0
0	39
1	38
7	81
3	23
0	101
5	60
0	66
0	84
0	2
0	43
0	83
0	42
0	71
1	2
0	35
0	25
0	2
0	38
0	43
0	45
0	39
0	5
0	16
0	21
0	24
0	42
0	63
0	64
0	68
0	37
0	38
0	42
0	39
0	8
0	43
0	68
0	41
1	8
0	1
0	11
0	4
0	20
0	0
0	0
0	0
0	20
0	10
0	16
0	2
0	0
0	0
2	17
0	8
0	0
0	0
0	0
0	11
0	11
0	0
0	11
0	4
0	4
0	4
0	4
0	4
0	11
0	5
0	0
0	2
0	0
0	2
172	1465
1	1089
11	1499
0	0
5	128
6	18
145	60
2	13
6	47
1	1
48	47
0	38
2	47
0	0
0	7
0	1
0	1
0	1
0	0
0	0
1	22
0	14
0	22
0	10
0	1460
0	901
1	8
0	0
430	1460
0	2434
0	2349
0	2329
0	2414
0	5
2	26
0	20
0	5
1	17
