UniqueCount	AmbigCount
0	18
0	0
0	911
0	0
0	2
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	67
0	54
0	1
0	3
0	1
0	0
0	3
0	29
0	4
0	0
6	10
0	2
0	0
0	0
0	0
0	1
0	2
6	35
0	0
1	1559
0	441
0	444
0	438
0	334
0	229
42	36
0	0
0	180
0	0
0	0
0	0
0	3
0	24
0	7
0	7
0	0
0	0
0	4
0	5
0	3
0	3
0	0
0	41
0	0
0	1
0	1
0	3
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	9
0	0
0	4
0	0
0	0
0	8
0	9
9	42
0	9
0	8
0	11
0	7
0	0
2	4907
346	5684
31	137711
5	0
4	22096
0	1440
10128	77878
7	44129
0	0
0	6
0	3
0	3
0	3
0	0
11	97
0	0
0	0
0	0
0	4
0	101
0	101
0	101
0	101
0	101
0	102
0	102
0	101
0	101
0	102
0	101
0	101
0	101
0	99
0	100
0	100
0	99
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	7
8	4
0	0
0	0
0	4
0	0
12	4
0	0
0	89
0	90
8	162
0	39
0	188
2	66
0	109
0	164
0	0
0	90
0	159
0	92
0	108
1	0
0	79
0	61
0	3
0	81
0	95
0	97
0	91
0	5
0	53
0	62
0	64
0	91
0	89
0	99
0	105
0	81
0	88
0	90
0	93
0	4
0	94
0	106
0	90
1	4
0	4
0	28
0	4
0	62
0	4
0	0
0	0
0	22
0	12
0	20
0	1
0	0
0	0
1	8
0	1
4	2
0	2
0	0
0	42
0	42
0	0
0	42
0	15
0	17
0	15
0	18
0	18
0	42
0	24
0	1
0	5
1	1
0	1
276	2443
2	1670
36	2497
0	0
15	227
4	17
131	42
1	5
0	38
4	2
70	80
0	77
2	78
0	3
1	22
0	0
0	0
0	0
0	0
0	0
6	291
17	270
0	276
4	189
0	1177
0	764
0	12
0	0
309	1177
0	5550
0	5364
0	5335
0	5521
0	13
0	55
0	46
0	8
0	68
0	3470
0	293
0	67
0	73
0	32
1	62
7	74
3	72
2	69
0	57
0	0
5	3
0	40
0	33
0	2
0	264
6	251
0	276
0	269
11	220
0	262
2	257
0	23
2	161
0	81
0	64
0	62
1	20
0	20
2	21
0	11
0	0
0	4
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
3	20
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	2
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	2
0	2
0	1
0	3
0	2
0	1
113	12946
2	12640
6	11668
1	7378
3	6707
0	3375
0	1284
1705	0
0	3
0	2
5	7
0	2
1	3
5	2
1	2482
0	2547
0	2494
0	1391
1	1388
0	877
2	990
1	362
0	869
0	503
0	96
0	131
0	265
0	242
0	270
0	7
0	135
0	135
0	172
2	7
0	3
2	3
0	27
0	7
1	27
0	27
0	0
0	27
0	0
0	2
2	588
0	642
0	494
0	331
0	10
0	0
0	23
0	42
0	5
1	51
0	17
3	3
0	6
4	0
52	683
1	207
20	150
1	349
0	38
5	389
0	398
0	1041
0	1282
0	1283
0	1147
0	370
0	1187
0	1303
0	1151
4	908
1	802
0	1118
0	1271
0	1162
0	1055
0	1106
0	1096
0	590
0	325
0	348
0	804
0	404
0	0
0	276
0	160
0	103
0	121
0	179
0	6
1	42
0	161
0	104
0	83
0	115
0	129
0	129
0	5
0	5
0	46
2	0
0	191
0	169
3	97
0	138
0	94
0	81
0	77
0	70
0	60
0	13
0	6
0	2
3	255
891	307
0	78
1	0
3	2154
67	2154
0	271
0	368
9	198
0	53
0	0
2	38
0	5080
2	6697
4	7474
28	4840
2	7142
1	2431
0	1974
23	1973
1	107
1	78
26	5294
18	4915
371	4701
70	5252
34	843
2	334
0	0
0	482
7	642
5	521
0	356
0	700
0	484
0	629
0	509
0	274
0	391
0	102
0	51
0	34
0	62
0	212
0	9
0	109
0	7
0	35
0	466
1	467
1	505
0	501
0	485
0	493
0	455
0	454
0	463
0	5
0	464
0	464
0	476
0	258
402	1290
0	805
12	1001
5	108
4	486
0	0
1	123
15	58
0	10
0	9
0	9
0	6
0	2
2	0
6	16
0	0
4	5
0	0
5	5
0	71
5	1416
99	1486
0	20
16	181
0	5
5	4
6	1558
0	1136
40	1440
0	155
6	1051
7	865
0	10
0	6
0	9
0	2333
5	1896
0	2300
0	2008
9	2205
0	25
0	170
1	624
19	64
0	59
29	12
442	2706
1	2283
0	453
254	168
3	66
18	347
0	0
504	0
6	0
47	0
5	702
0	722
0	753
0	758
0	677
0	729
0	735
1	85
0	11
4	715
0	59
0	579
1	28
2	5
0	44
0	759
0	392
0	31
0	691
3	630
0	8
1	7
0	644
0	68
0	6
0	9
5	76
0	223
0	176
0	265
0	124
0	130
0	0
0	279
16	193
0	277
0	275
0	171
0	217
15	339
47	120
7	78
0	2227
2	2061
0	1956
0	1607
0	1466
0	1534
0	1534
0	1534
0	349
4	3
3	34
1	1283
0	1282
0	131
4	118
0	6
0	0
0	265
25	1720
0	1553
32	1228
0	299
0	1257
0	1431
0	1168
0	1346
0	1455
0	1414
0	1219
1	59
0	84
0	66
0	17
0	283
0	35
0	55
4	187
0	203
5	84
0	19
0	6
9	10
0	3
8	2
2	32
2	24
1	16
0	0
0	13
0	0
8	1236
0	1212
0	1195
0	545
1	13
0	222
4	109
0	89
0	163
0	106
0	72
0	91
0	60
0	51
0	50
0	35
0	0
0	9977
10	10843
65	11007
0	10139
0	10050
3	10336
0	9974
0	9389
0	10325
2	10047
0	7792
0	10008
0	10201
0	9558
0	9571
0	8852
0	8198
0	6078
4	5641
0	5303
0	5286
4	4902
2	2959
3	2472
0	612
2	1508
0	885
1	436
0	15
1	131
0	0
0	5
0	4
0	2
0	5
1	4
0	1
0	1
0	1
0	0
0	21
0	18
0	7
3	1
8	3
0	0
0	0
0	0
0	0
0	0
0	0
6	16
0	0
0	0
13	86
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	52
0	0
0	0
0	0
0	0
0	0
0	0
0	56
0	1
0	0
0	0
0	0
0	0
0	57
0	3
0	36
0	2
0	2
0	2
0	2
0	2
0	5
0	2
0	2
0	2
0	1
0	2
0	0
7	24
0	54
0	3
0	25
0	47
1	0
62	5
4	5
0	915
4	850
4	1407
0	1670
8	985
58	881
2	1271
3	1874
1	1489
5	1496
46	1455
18	988
1	1025
0	5
5	3
0	0
0	9
1317	15
0	0
0	3
4	6
0	23
2	23
0	43
0	0
0	43
8	2
0	2
0	44
0	0
2	0
3	13
0	1
4	39
0	46
18	24
2	14
0	11
19	3480
0	556
0	4328
0	1346
0	88
4	3256
0	1018
2	1994
0	628
3	822
0	846
0	666
0	724
0	124
0	30
0	4
0	13
0	18
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	300
0	288
0	193
0	56
0	21
0	1
0	5
0	23
0	33
0	8
0	0
0	3
0	0
0	12
0	12
0	0
0	0
1	0
0	0
0	0
0	0
0	40
0	67
0	67
0	67
0	41
3	193
0	143
0	25
0	25
0	41
5	99
0	145
0	13
0	67
0	0
4	28
0	0
1	0
0	0
0	92
0	99
0	1078
0	1117
0	1124
0	1112
0	180
0	1114
0	123
0	93
0	45
1	74
0	1046
0	42
0	983
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
4	0
11	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	222
0	223
1	120
0	15
0	74
0	18
0	17
0	0
0	0
1	1
0	4
0	4
0	7
0	7
0	4
0	4
118	1445
0	1445
31	263
31	263
5	18
2	93
0	54
0	33
0	20
0	65
0	34
2	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	37
0	7
0	163
0	65
0	164
4	273
1	50
0	4
0	178
0	7
0	0
0	205
0	209
0	243
0	233
0	130
0	172
0	141
0	110
0	95
0	151
0	101
0	9
0	33
0	10
1	87
0	67
2	21
0	55
0	2
1	16
0	0
0	0
16	150
0	78
12	141
3	35
520	71
0	70
1	16
0	0
0	1
3	610
0	641
0	639
0	636
0	641
0	552
0	620
0	565
1	622
2	628
0	615
0	641
0	635
0	572
0	577
0	575
0	68
7	283
0	182
8	230
0	19
0	25
1	69
0	36
1	21
5	14
0	2
0	96
0	97
0	96
0	96
0	96
0	96
0	95
0	95
0	1
3	33
0	368
0	359
0	381
0	355
0	357
0	354
0	356
0	356
0	354
0	92
0	20
1	0
0	0
0	10
0	26
1	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	0
0	0
0	0
6	38
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	19
0	19
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	33
0	32
0	96
0	101
0	104
0	68
0	3
0	5
0	4
0	25
0	2
0	4
0	4
2	152
0	150
0	155
0	2
0	5
0	7
0	1
0	1
0	5
0	3
0	5
0	150
0	6
0	5
0	4
0	151
0	3
0	20
0	149
0	3
0	142
0	2
0	4
0	14
0	138
0	2
0	2
0	141
2	4
0	2
0	149
0	151
0	14
0	14
0	4
0	0
0	146
0	0
0	13
0	35
0	0
0	0
0	1
0	138
0	117
0	138
0	0
0	0
0	0
0	0
0	0
0	0
0	5381
4755	16867
8	16704
